"INCIDENT_KEY","OCCUR_DATE","OCCUR_TIME","BORO","PRECINCT","PERP_AGE_GROUP","PERP_SEX","PERP_RACE","VIC_AGE_GROUP","VIC_SEX","VIC_RACE","Latitude","Longitude","NTA_clean","Number_poverty","Percent_poverty","Number_education","Percent_education","Year","Month"
234208836,2021-09-28,20:40:00,"MANHATTAN",24,"25-44","M","BLACK","25-44","M","BLACK",40.789310287,-73.9738376509999,"upper west side",19187,9.9,164632,94.6,2021,9
237011779,2021-11-27,16:30:00,"MANHATTAN",23,"18-24","M","BLACK","25-44","M","BLACK",40.7964842210001,-73.94741178,"east harlem",35961,30.2,34278,78.3,2021,11
162178920,2017-02-22,03:32:00,"BROOKLYN",75,"18-24","M","BLACK","25-44","F","BLACK",40.669566855,-73.8885781769999,"east new york",56000,29.8,41504,76.3,2017,2
216930291,2020-08-23,02:21:00,"BRONX",47,"25-44","M","BLACK","25-44","M","WHITE HISPANIC",40.875245282,-73.8510623399999,"eastchester edenwald baychester",6771,18.7,31562,83.2,2020,8
253514149,2022-11-02,15:32:00,"BRONX",40,"65+","M","WHITE HISPANIC","25-44","M","WHITE HISPANIC",40.816771,-73.907303,"melrose",17284,40.7,17369,68.2,2022,11
213188087,2020-05-16,01:09:00,"MANHATTAN",23,"18-24","M","BLACK","25-44","F","WHITE HISPANIC",40.7958473410001,-73.9469084579999,"east harlem",39284,33.3,54250,70,2020,5
272458922,2023-08-06,00:13:00,"MANHATTAN",25,"18-24","M","BLACK","25-44","M","BLACK HISPANIC",40.800244,-73.940436,"east harlem",21027,34,32600,74.6,2023,8
216646418,2020-08-14,21:35:00,"QUEENS",110,"18-24","M","WHITE HISPANIC","25-44","M","WHITE HISPANIC",40.747543879,-73.884855425,"jackson heights",11755,13.2,85192,69.5,2020,8
171292987,2017-11-06,19:30:00,"MANHATTAN",25,"25-44","M","BLACK","45-64","M","BLACK",40.802138622,-73.939059334,"east harlem",38002,32.5,54060,71.9,2017,11
240547210,2022-02-13,22:25:00,"MANHATTAN",25,"25-44","M","BLACK","25-44","M","BLACK",40.802758,-73.9386,"east harlem",35406,30.8,62788,74.3,2022,2
204338716,2019-10-28,14:26:00,"MANHATTAN",25,"18-24","M","BLACK","25-44","M","BLACK",40.8111313090001,-73.936715635,"east harlem",34909,32.4,34290,75.9,2019,10
242669571,2022-03-25,18:00:00,"BROOKLYN",73,"18-24","F","BLACK","<18","F","BLACK",40.660526,-73.911814,"brownsville",23424,39.9,24644,75.3,2022,3
251216080,2022-09-17,02:41:00,"BROOKLYN",67,"18-24","M","BLACK","18-24","M","BLACK",40.634386,-73.941524,"east flatbush farragut",5919,11.2,32353,87.3,2022,9
221890615,2020-12-14,21:45:00,"BRONX",47,"18-24","M","BLACK","45-64","M","BLACK",40.889082425,-73.863143492,"williamsbridge olinville",15505,24.7,33012,76.7,2020,12
232390407,2021-08-17,13:00:00,"BRONX",41,"18-24","M","BLACK HISPANIC","18-24","M","WHITE HISPANIC",40.812292824,-73.885426178,"hunts point",10009,39.6,9856,61.4,2021,8
264657995,2023-03-06,16:44:00,"BROOKLYN",75,"<18","M","BLACK HISPANIC","45-64","M","BLACK HISPANIC",40.66852195,-73.87941026,"east new york",51563,27,101089,81,2023,3
254374108,2022-11-18,05:09:00,"MANHATTAN",33,"25-44","M","BLACK HISPANIC","25-44","M","BLACK",40.847234,-73.938135,"washington heights",49315,18.4,127434,69.6,2022,11
219688157,2020-10-24,01:58:00,"MANHATTAN",23,"25-44","M","BLACK","25-44","M","BLACK",40.7970890990001,-73.9427503859999,"east harlem",39284,33.3,34278,78.3,2020,10
205177554,2019-11-14,00:12:00,"MANHATTAN",25,"45-64","M","BLACK HISPANIC","25-44","M","WHITE HISPANIC",40.8092586220001,-73.93614666,"east harlem",34617,31.1,57796,73.5,2019,11
241284196,2022-02-25,06:20:00,"BRONX",48,"25-44","M","WHITE HISPANIC","25-44","M","WHITE HISPANIC",40.852571,-73.893695,"tremont",11476,36.3,14034,71.4,2022,2
227433672,2021-04-27,22:08:00,"BROOKLYN",81,"18-24","M","BLACK","18-24","F","BLACK",40.6876739030001,-73.931498714,"bedford stuyvesant",19101,22.1,77678,82,2021,4
202804357,2019-09-23,11:45:00,"MANHATTAN",23,"25-44","M","BLACK","18-24","M","BLACK HISPANIC",40.7958473410001,-73.9469084579999,"east harlem",35961,30.2,58564,73.1,2019,9
203083804,2019-09-30,13:49:00,"MANHATTAN",23,"18-24","M","BLACK","18-24","M","BLACK",40.799664277,-73.9471982,"east harlem",36518,33.3,57796,73.5,2019,9
221100108,2020-11-27,11:40:00,"STATEN ISLAND",121,"18-24","M","BLACK","18-24","M","WHITE HISPANIC",40.6360900990001,-74.1367249419999,"port richmond",4448,23.2,9748,81.5,2020,11
201573939,2019-08-25,01:20:00,"QUEENS",115,"18-24","M","WHITE HISPANIC","45-64","M","WHITE HISPANIC",40.751975477,-73.863773236,"north corona",11847,24.6,19846,57.4,2019,8
253332950,2022-10-30,04:18:00,"QUEENS",103,"25-44","M","BLACK","25-44","M","BLACK HISPANIC",40.70663261,-73.80658821,"jamaica",11740,23.4,176401,82.1,2022,10
239555390,2022-01-23,03:26:00,"BROOKLYN",75,"18-24","M","BLACK","25-44","M","BLACK",40.6713598203364,-73.8818110231735,"east new york",11298,38.4,14922,79,2022,1
269233784,2023-06-02,15:55:00,"BROOKLYN",79,"25-44","M","BLACK","45-64","F","BLACK",40.69023,-73.951538,"bedford stuyvesant",41921,28.6,49551,84.8,2023,6
271916392,2023-07-26,00:19:00,"MANHATTAN",24,"18-24","M","BLACK","<18","M","WHITE HISPANIC",40.79244,-73.971544,"upper west side",25590,12,158480,93.6,2023,7
213723895,2020-05-30,02:30:00,"BROOKLYN",88,"45-64","M","BLACK","25-44","M","BLACK",40.695391999,-73.979407545,"fort greene",6238,18.5,19853,85.4,2020,5
211578688,2020-03-28,21:43:00,"BROOKLYN",79,"18-24","M","BLACK","45-64","M","BLACK",40.6868475730001,-73.9582061689999,"bedford stuyvesant",44896,31.7,58841,75.2,2020,3
213972320,2020-06-08,15:00:00,"QUEENS",110,"25-44","M","BLACK HISPANIC","18-24","M","WHITE HISPANIC",40.7439618390001,-73.874226377,"elmhurst",11262,11.5,43081,70.1,2020,6
213188087,2020-05-16,01:09:00,"MANHATTAN",23,"18-24","M","BLACK","25-44","F","WHITE HISPANIC",40.7958473410001,-73.9469084579999,"east harlem",40595,33.7,55011,69.8,2020,5
275824274,2023-10-12,03:13:00,"MANHATTAN",24,"25-44","F","BLACK HISPANIC","25-44","M","BLACK",40.788792,-73.966781,"upper west side",23848,11.2,162369,93.6,2023,10
174405030,2018-02-04,21:15:00,"BRONX",48,"18-24","M","BLACK","25-44","M","BLACK HISPANIC",40.8561217980001,-73.8923771789999,"belmont",10995,45.9,9793,66.4,2018,2
170063918,2017-10-05,07:09:00,"MANHATTAN",20,"25-44","M","BLACK","25-44","M","WHITE",40.784507751,-73.975481654,"upper west side",18511,9.6,159858,94.2,2017,10
169680543,2017-09-24,20:47:00,"BRONX",47,"25-44","M","BLACK","18-24","M","BLACK",40.885739146,-73.8565465849999,"williamsbridge olinville",11806,19.5,30825,76.6,2017,9
248157399,2022-07-17,20:10:00,"BROOKLYN",73,"<18","M","BLACK","45-64","M","BLACK",40.6625545,-73.9089197,"brownsville",20969,41.4,24644,75.3,2022,7
231631685,2021-07-31,23:10:00,"MANHATTAN",34,"25-44","M","BLACK HISPANIC","45-64","F","BLACK HISPANIC",40.850222784,-73.931259031,"washington heights",52857,20,141789,71,2021,7
233470540,2021-08-12,07:23:00,"MANHATTAN",34,"25-44","M","BLACK HISPANIC","25-44","M","BLACK HISPANIC",40.8505146680001,-73.9328636179999,"washington heights",67762,26.1,145514,73.5,2021,8
271465864,2023-07-17,13:00:00,"BROOKLYN",62,"<18","M","BLACK","<18","M","WHITE",40.617962,-73.98436,"bensonhurst",34697,18.4,51323,71,2023,7
199742305,2019-07-13,00:43:00,"MANHATTAN",23,"25-44","M","BLACK","25-44","M","WHITE HISPANIC",40.7888442490001,-73.946176442,"east harlem",41871,34.3,55490,72.3,2019,7
213499948,2020-05-25,21:05:00,"BROOKLYN",75,"25-44","M","BLACK HISPANIC","25-44","M","WHITE HISPANIC",40.673376277,-73.894739768,"east new york",11343,25.5,12787,72.9,2020,5
236650847,2021-11-20,15:01:00,"MANHATTAN",25,"<18","M","WHITE HISPANIC","18-24","M","BLACK",40.8013868900001,-73.9327000599999,"east harlem",34873,29.5,49688,67.4,2021,11
269683819,2023-06-11,21:14:00,"BRONX",42,"25-44","M","WHITE HISPANIC","25-44","M","WHITE HISPANIC",40.83602,-73.88206,"crotona park east",8973,41.4,6660,58.8,2023,6
273126315,2023-08-18,23:12:00,"MANHATTAN",25,"25-44","M","BLACK","25-44","M","BLACK HISPANIC",40.798965,-73.942427,"east harlem",36311,30.5,68568,77.1,2023,8
236405158,2021-11-17,20:37:00,"MANHATTAN",25,"25-44","M","BLACK","25-44","M","BLACK",40.8005932890001,-73.932061556,"east harlem",37316,32.2,54060,71.9,2021,11
248435789,2022-07-23,02:02:00,"MANHATTAN",23,"18-24","M","BLACK","25-44","M","BLACK",40.786582,-73.940798,"east harlem",21027,34,62542,74.3,2022,7
233172873,2021-09-03,19:08:00,"BRONX",43,"25-44","M","BLACK HISPANIC","25-44","M","WHITE HISPANIC",40.835009184,-73.8546988809999,"parkchester",4874,15.8,18062,84.7,2021,9
227130667,2021-04-20,04:23:00,"BROOKLYN",73,"25-44","M","BLACK","45-64","M","BLACK",40.655865292,-73.905282945,"brownsville",21100,39.2,55229,72.9,2021,4
228917763,2021-05-31,22:29:00,"MANHATTAN",25,"25-44","M","BLACK","<18","M","BLACK",40.8030808130001,-73.9383728609999,"east harlem",38127,32.7,53696,69.2,2021,5
252533394,2022-10-13,20:42:00,"MANHATTAN",23,"18-24","M","BLACK","18-24","M","BLACK",40.793778,-73.937034,"east harlem",20588,32.3,34290,75.9,2022,10
189046704,2018-10-20,02:14:00,"QUEENS",103,"25-44","M","WHITE HISPANIC","18-24","M","BLACK",40.6962840840001,-73.804359422,"jamaica",13025,24.5,128404,80.6,2018,10
262696073,2023-01-29,17:00:00,"MANHATTAN",23,"<18","M","BLACK","<18","M","BLACK",40.78845,-73.939372,"east harlem",41871,34.3,33248,78.5,2023,1
274020434,2023-09-06,15:37:00,"BROOKLYN",79,"25-44","M","BLACK","25-44","M","BLACK",40.697447,-73.940928,"bedford stuyvesant",39997,26.9,74790,80.7,2023,9
234268729,2021-09-29,12:50:00,"BRONX",48,"18-24","M","BLACK HISPANIC","<18","M","BLACK HISPANIC",40.853506962,-73.882203096,"belmont",11394,41.9,8260,60.9,2021,9
174983748,2018-02-19,17:38:00,"BROOKLYN",75,"18-24","M","BLACK","18-24","M","BLACK",40.6672223680001,-73.899012919,"east new york",29225,31.6,78136,73,2018,2
243175384,2022-04-06,10:50:00,"BRONX",40,"25-44","M","WHITE HISPANIC","18-24","M","WHITE HISPANIC",40.8103518634571,-73.924942325642,"mott haven port morris",23752,43.7,17421,57.1,2022,4
224652832,2021-02-21,15:28:00,"QUEENS",113,"<18","M","BLACK","<18","M","BLACK",40.6837297500001,-73.784676421,"baisley park",5658,14.8,18590,81.6,2021,2
178393484,2018-04-19,19:11:00,"BROOKLYN",79,"18-24","M","BLACK","25-44","M","WHITE HISPANIC",40.679742713,-73.9513967199999,"bedford stuyvesant",44037,30.5,77678,82,2018,4
263211697,2023-02-07,22:25:00,"BRONX",46,"25-44","M","WHITE HISPANIC","18-24","M","WHITE HISPANIC",NA,NA,"mount hope",20278,38.8,20070,63.3,2023,2
202458696,2019-09-13,20:47:00,"BROOKLYN",79,"<18","M","BLACK","45-64","M","BLACK",40.686396207,-73.949097282,"bedford stuyvesant",43387,31.7,65086,76.7,2019,9
242377361,2022-03-19,02:29:00,"QUEENS",115,"18-24","M","WHITE HISPANIC","25-44","M","WHITE HISPANIC",40.755607,-73.884903,"jackson heights",35857,19.7,85911,71.2,2022,3
243630080,2022-04-13,23:30:00,"MANHATTAN",25,"25-44","F","WHITE HISPANIC","25-44","F","BLACK",40.795807,-73.937099,"east harlem",35385,31.9,63398,73.8,2022,4
273899112,2023-09-04,16:45:00,"BRONX",41,"25-44","M","BLACK HISPANIC","25-44","M","WHITE HISPANIC",40.812511,-73.902811,"longwood",9912,36.2,10240,59.3,2023,9
170063918,2017-10-05,07:09:00,"MANHATTAN",20,"25-44","M","BLACK","25-44","M","WHITE",40.784507751,-73.975481654,"upper west side",22623,10.6,146135,94.2,2017,10
199742303,2019-07-12,22:50:00,"QUEENS",115,"18-24","M","WHITE HISPANIC","25-44","M","WHITE HISPANIC",40.752110486,-73.872426654,"jackson heights",18935,18.1,86137,69.7,2019,7
263891837,2023-02-18,21:10:00,"MANHATTAN",23,"25-44","M","WHITE HISPANIC","25-44","M","BLACK",40.791406,-73.940318,"east harlem",39934,33.4,58544,72.9,2023,2
248157399,2022-07-17,20:10:00,"BROOKLYN",73,"<18","M","BLACK","25-44","M","BLACK",40.6625545,-73.9089197,"brownsville",40115,34.8,27020,75.4,2022,7
197660693,2019-05-26,05:21:00,"MANHATTAN",23,"25-44","M","BLACK","25-44","M","BLACK",40.7867308670001,-73.941130664,"east harlem",39934,33.4,33248,78.5,2019,5
197573447,2019-05-23,19:16:00,"MANHATTAN",34,"<18","M","BLACK","18-24","M","WHITE HISPANIC",40.859807372,-73.929621643,"washington heights",52857,20,46808,78.2,2019,5
274622216,2023-09-18,09:23:00,"MANHATTAN",25,"25-44","M","BLACK","25-44","F","BLACK",40.795807,-73.937099,"east harlem",38590,34.6,63108,74.8,2023,9
197293450,2019-05-16,20:15:00,"BROOKLYN",79,"<18","M","BLACK","<18","M","BLACK",40.693993989,-73.941684269,"bedford stuyvesant",41533,31.1,61508,75.9,2019,5
244102489,2022-04-24,19:29:00,"MANHATTAN",25,"18-24","M","BLACK","25-44","F","WHITE HISPANIC",40.80985,-73.937644,"east harlem",38624,34.3,57115,73.7,2022,4
232888019,2021-08-27,00:06:00,"MANHATTAN",33,"25-44","M","WHITE HISPANIC","18-24","M","BLACK HISPANIC",40.836209301,-73.943181103,"washington heights",16158,19.9,42008,68.9,2021,8
194817571,2019-03-17,03:37:00,"MANHATTAN",25,"18-24","M","BLACK","18-24","M","BLACK",40.79734911,-73.937529185,"east harlem",35385,31.9,60103,73.3,2019,3
233626999,2021-09-15,23:21:00,"BRONX",47,"45-64","M","BLACK","45-64","M","BLACK",40.886860911,-73.8626831079999,"williamsbridge olinville",14306,21.4,30825,76.6,2021,9
182363093,2018-05-05,18:40:00,"BROOKLYN",73,"18-24","M","BLACK","18-24","M","BLACK",40.656153596,-73.90339377,"brownsville",21755,39.7,51102,72.7,2018,5
216922896,2020-08-21,11:45:00,"BROOKLYN",75,"18-24","M","BLACK","65+","F","BLACK",40.674662362,-73.8771185589999,"east new york",28632,32.1,15211,80,2020,8
203083804,2019-09-30,13:49:00,"MANHATTAN",23,"18-24","M","BLACK","18-24","M","BLACK",40.799664277,-73.9471982,"east harlem",41117,34,62788,74.3,2019,9
266537340,2023-04-11,16:18:00,"MANHATTAN",25,"18-24","F","BLACK","25-44","M","BLACK HISPANIC",40.80307253,-73.93837142,"east harlem",39284,33.3,33248,78.5,2023,4
246139915,2022-06-05,04:24:00,"BROOKLYN",83,"25-44","M","BLACK","18-24","M","BLACK",40.69644305,-73.92227067,"bushwick",27412,24.5,59507,76.7,2022,6
241440065,2022-03-01,21:59:00,"MANHATTAN",25,"25-44","M","BLACK","18-24","F","BLACK",40.802083,-73.936999,"east harlem",36518,33.3,55490,72.3,2022,3
269121985,2023-05-31,19:37:00,"MANHATTAN",25,"25-44","M","BLACK","25-44","M","BLACK",40.795807,-73.937099,"east harlem",34909,32.4,61738,74.7,2023,5
220870735,2020-11-22,23:15:00,"BROOKLYN",79,"<18","M","BLACK","<18","M","BLACK",40.6803340050001,-73.938424772,"bedford stuyvesant",41533,31.1,81511,83.6,2020,11
265304929,2023-03-18,05:25:00,"QUEENS",102,"45-64","M","WHITE HISPANIC","45-64","M","WHITE HISPANIC",40.69228,-73.852163,"woodhaven",7381,12.2,29585,75.8,2023,3
246530276,2022-06-12,22:55:00,"MANHATTAN",25,"18-24","M","WHITE HISPANIC","25-44","M","BLACK",40.79763944,-73.93126854,"east harlem",20588,32.3,59285,73.8,2022,6
230421165,2021-07-02,02:19:00,"BROOKLYN",79,"18-24","M","WHITE HISPANIC","18-24","M","BLACK",40.694728158,-73.9418267469999,"bedford stuyvesant",39997,26.9,70348,78.7,2021,7
214874082,2020-07-02,18:41:00,"BROOKLYN",73,"25-44","M","BLACK","18-24","M","BLACK",40.65734561,-73.9031958429999,"brownsville",23424,39.9,23392,72.8,2020,7
235423767,2021-10-23,23:54:00,"BROOKLYN",75,"25-44","M","BLACK","25-44","F","BLACK",40.6756457640001,-73.9006546969999,"east new york",58202,31.1,12787,72.9,2021,10
247686029,2022-07-07,01:05:00,"BROOKLYN",68,"25-44","F","BLACK","25-44","M","BLACK",40.621234,-74.025789,"bay ridge",20271,16.3,52348,85.8,2022,7
165492102,2017-06-02,18:40:00,"BROOKLYN",83,"25-44","M","WHITE HISPANIC","25-44","M","WHITE HISPANIC",40.695690906,-73.931138195,"bushwick",40260,29.2,30767,76.6,2017,6
271916392,2023-07-26,00:19:00,"MANHATTAN",24,"18-24","M","BLACK","25-44","M","WHITE HISPANIC",40.79244,-73.971544,"upper west side",19569,10.1,159854,93.8,2023,7
247524805,2022-07-04,07:33:00,"BROOKLYN",83,"45-64","M","WHITE HISPANIC","25-44","M","WHITE HISPANIC",40.701467,-73.920853,"bushwick",26629,22.6,48014,58.8,2022,7
231133996,2021-07-20,15:55:00,"MANHATTAN",25,"25-44","M","BLACK","45-64","F","BLACK HISPANIC",40.8050534920001,-73.936929789,"east harlem",35223,31.8,58544,72.9,2021,7
232444801,2021-08-18,16:55:00,"BROOKLYN",83,"18-24","M","BLACK HISPANIC","25-44","M","BLACK",40.691821394,-73.908073407,"bushwick",41202,31.1,61859,69.3,2021,8
275218028,2023-09-30,17:12:00,"BROOKLYN",79,"18-24","M","BLACK","25-44","M","BLACK",40.696192,-73.942116,"bedford stuyvesant",43387,31.7,81511,83.6,2023,9
217540562,2020-09-07,02:49:00,"BROOKLYN",71,"<18","M","BLACK","25-44","M","BLACK",40.666296501,-73.950837887,"crown heights",16523,16.8,72428,86.2,2020,9
248264388,2022-07-19,16:20:00,"MANHATTAN",25,"<18","M","BLACK","<18","M","BLACK",40.806635,-73.936826,"east harlem",36518,33.3,63108,74.8,2022,7
177934247,2018-04-07,19:48:00,"BROOKLYN",79,"25-44","M","WHITE HISPANIC","25-44","M","BLACK",40.6856096720001,-73.942913023,"bedford stuyvesant",44892,32.4,70348,78.7,2018,4
227000895,2021-04-15,16:15:00,"QUEENS",103,"<18","M","BLACK","45-64","M","BLACK",40.7089526460001,-73.776634411,"jamaica",45282,14.8,164669,81.1,2021,4
178651739,2018-04-26,12:30:00,"BRONX",42,"18-24","M","BLACK","18-24","M","BLACK",40.8376365600001,-73.889326218,"crotona park east",9169,41.6,6660,58.8,2018,4
247133911,2022-06-24,19:09:00,"MANHATTAN",25,"25-44","F","BLACK","25-44","M","BLACK",40.801003,-73.945161,"east harlem",40251,33.8,55900,72.6,2022,6
230713946,2021-07-09,07:00:00,"BROOKLYN",75,"18-24","M","BLACK","18-24","F","BLACK",40.672797186,-73.880939675,"east new york",11343,25.5,20616,79.1,2021,7
233998220,2021-09-23,15:56:00,"BROOKLYN",79,"18-24","M","BLACK","18-24","M","BLACK",40.6870736810001,-73.94320361,"bedford stuyvesant",44896,31.7,58841,75.2,2021,9
213188086,2020-05-17,23:42:00,"QUEENS",101,"25-44","M","BLACK","18-24","M","BLACK",40.6066642580001,-73.756150955,"far rockaway bayswater",11328,21.5,22487,73.9,2020,5
234973159,2021-10-14,10:40:00,"MANHATTAN",33,"18-24","M","WHITE HISPANIC","25-44","M","BLACK",40.838315965,-73.946247548,"washington heights",57444,21.5,49817,79.3,2021,10
266544380,2023-04-11,20:37:00,"BRONX",42,"18-24","M","BLACK","25-44","M","BLACK",40.833231,-73.890222,"crotona park east",8306,37.2,6542,58.8,2023,4
253238378,2022-10-27,19:34:00,"MANHATTAN",9,"25-44","M","BLACK","18-24","M","WHITE HISPANIC",40.727598,-73.977819,"east village",6485,17.2,30697,94,2022,10
242377361,2022-03-19,02:29:00,"QUEENS",115,"18-24","M","WHITE HISPANIC","18-24","F","WHITE HISPANIC",40.755607,-73.884903,"jackson heights",37067,20.7,86627,70,2022,3
214778104,2020-06-30,09:00:00,"BROOKLYN",79,"18-24","M","BLACK","25-44","M","BLACK",40.690534245,-73.942444091,"bedford stuyvesant",44892,32.4,66644,77.3,2020,6
221346750,2020-12-04,03:30:00,"QUEENS",103,"25-44","M","ASIAN / PACIFIC ISLANDER","25-44","M","BLACK",40.6978053080001,-73.808140717,"jamaica",9119,16.5,158091,80.1,2020,12
201141629,2019-08-14,23:14:00,"BROOKLYN",83,"25-44","M","BLACK","25-44","M","BLACK",40.6960170250001,-73.9317261259999,"bushwick",36778,27.3,65118,78.1,2019,8
169454926,2017-09-17,01:55:00,"QUEENS",103,"25-44","M","BLACK","25-44","M","BLACK",40.7072261980001,-73.797704,"jamaica",36174,15.5,176401,82.1,2017,9
271916392,2023-07-26,00:19:00,"MANHATTAN",24,"18-24","M","BLACK","25-44","M","WHITE HISPANIC",40.79244,-73.971544,"upper west side",19121,10,144664,94.2,2023,7
186787755,2018-08-23,19:30:00,"BROOKLYN",71,"25-44","M","BLACK","<18","M","BLACK",40.666002991,-73.953649253,"crown heights",8940,17.4,29928,85.1,2018,8
275218028,2023-09-30,17:12:00,"BROOKLYN",79,"18-24","M","WHITE HISPANIC","25-44","M","BLACK",40.696192,-73.942116,"bedford stuyvesant",44892,32.4,65086,76.7,2023,9
274180042,2023-09-09,12:17:00,"BROOKLYN",79,"45-64","M","BLACK","25-44","F","BLACK",40.6933087488641,-73.9530991901704,"bedford stuyvesant",44892,32.4,49551,84.8,2023,9
185063609,2018-07-11,13:50:00,"BROOKLYN",81,"<18","M","BLACK","<18","M","BLACK",40.68277103,-73.935008318,"bedford stuyvesant",42455,32.8,61508,75.9,2018,7
189435391,2018-10-31,16:24:00,"BROOKLYN",70,"<18","M","BLACK","<18","M","BLACK",40.6326051140001,-73.948056565,"flatbush",31041,19.3,59024,81.4,2018,10
199134402,2019-06-28,12:34:00,"BROOKLYN",72,"25-44","M","ASIAN / PACIFIC ISLANDER","45-64","M","ASIAN / PACIFIC ISLANDER",40.6412285320001,-74.005396898,"sunset park",31843,23.2,58864,59.2,2019,6
214430790,2020-06-20,11:05:00,"BROOKLYN",75,"45-64","F","BLACK","25-44","M","BLACK",40.671369036,-73.876298202,"east new york",61136,33.2,12276,70.7,2020,6
222989905,2021-01-12,01:00:00,"MANHATTAN",25,"18-24","M","BLACK","18-24","M","BLACK HISPANIC",40.805364044,-73.9376627629999,"east harlem",39280,33.2,61174,75.1,2021,1
214431173,2020-06-21,10:28:00,"BROOKLYN",75,"25-44","M","BLACK","25-44","M","BLACK",40.669701543,-73.887674494,"east new york",11453,39,108403,81.7,2020,6
244155418,2022-04-25,16:30:00,"QUEENS",103,"18-24","M","BLACK","18-24","M","BLACK",40.7072398161698,-73.7927267255908,"jamaica",42024,13.5,26689,71.8,2022,4
192834300,2019-01-26,20:55:00,"BROOKLYN",83,"18-24","M","BLACK","18-24","M","BLACK",40.6875144200001,-73.9146454689999,"bushwick",41424,30.3,46519,59,2019,1
276785707,2023-10-31,17:27:00,"BROOKLYN",75,"18-24","M","BLACK","25-44","M","BLACK",40.669827,-73.886771,"east new york",51563,27,81729,74.4,2023,10
265988196,2023-03-31,15:30:00,"BROOKLYN",75,"<18","M","BLACK HISPANIC","<18","M","BLACK",40.669299,-73.895709,"east new york",58202,31.1,49650,81.3,2023,3
256123226,2022-12-15,16:06:00,"MANHATTAN",34,"25-44","M","BLACK","25-44","M","BLACK",40.861107,-73.926086,"washington heights",67762,26.1,42008,68.9,2022,12
275544876,2023-10-06,12:00:00,"BROOKLYN",70,"18-24","M","BLACK","<18","F","BLACK",40.618086,-73.959306,"midwood",9947,18.7,28701,87.8,2023,10
193982311,2019-02-25,11:00:00,"QUEENS",112,"18-24","M","BLACK","<18","M","WHITE HISPANIC",40.735320341,-73.848226799,"forest hills",7011,8.1,63023,92.7,2019,2
231866068,2021-08-05,08:57:00,"QUEENS",103,"25-44","M","BLACK","18-24","M","ASIAN / PACIFIC ISLANDER",40.7017931820001,-73.806333175,"jamaica",31746,13.1,158091,80.1,2021,8
266702449,2023-04-14,02:02:00,"BRONX",46,"<18","M","WHITE HISPANIC","18-24","M","WHITE HISPANIC",40.85525224,-73.91276232,"university heights morris heights",21704,40.6,21581,68.1,2023,4
276032583,2023-10-16,23:18:00,"BROOKLYN",81,"25-44","M","BLACK","25-44","M","BLACK",40.692475,-73.927289,"bedford stuyvesant",44037,30.5,81511,83.6,2023,10
209531028,2020-02-13,17:55:00,"QUEENS",103,"18-24","M","BLACK","18-24","M","BLACK",40.6995793660001,-73.7940396179999,"jamaica",10827,19.4,113938,78.3,2020,2
266537340,2023-04-11,16:18:00,"MANHATTAN",25,"18-24","F","BLACK","25-44","M","BLACK HISPANIC",40.80307253,-73.93837142,"east harlem",21027,34,49688,67.4,2023,4
211912303,2020-04-10,04:39:00,"BRONX",44,"45-64","M","BLACK","65+","M","WHITE HISPANIC",40.831195316,-73.91327952,"concourse concourse village",21505,33,30733,69.8,2020,4
243566417,2022-04-12,08:26:00,"BROOKLYN",72,"45-64","M","BLACK","25-44","F","WHITE",40.6581577535544,-74.0004411548878,"sunset park",33453,27.8,59820,59,2022,4
245466214,2022-05-22,02:58:00,"BROOKLYN",73,"25-44","M","BLACK","25-44","M","BLACK",40.656911,-73.904087,"brownsville",45369,37.2,48779,72.5,2022,5
242377361,2022-03-19,02:29:00,"QUEENS",115,"18-24","M","WHITE HISPANIC","25-44","M","WHITE HISPANIC",40.755607,-73.884903,"jackson heights",32631,18.5,83732,69.5,2022,3
198998743,2019-06-26,20:45:00,"BROOKLYN",81,"<18","M","BLACK","<18","M","BLACK",40.680685322,-73.927098055,"bedford stuyvesant",41533,31.1,81511,83.6,2019,6
263891837,2023-02-18,21:10:00,"MANHATTAN",23,"25-44","M","WHITE HISPANIC","25-44","M","BLACK",40.791406,-73.940318,"east harlem",34548,32,51889,70.7,2023,2
240547210,2022-02-13,22:25:00,"MANHATTAN",25,"18-24","M","BLACK","25-44","M","BLACK",40.802758,-73.9386,"east harlem",16639,29,58564,73.1,2022,2
195699914,2019-04-07,01:45:00,"MANHATTAN",32,"25-44","M","BLACK","18-24","M","BLACK",40.814366034,-73.936450416,"east harlem",16639,29,61738,74.7,2019,4
197016009,2019-05-09,09:23:00,"BROOKLYN",75,"25-44","M","BLACK","25-44","M","BLACK",40.669168163,-73.896650414,"east new york",51563,27,97257,79.6,2019,5
193779318,2019-02-19,22:27:00,"BROOKLYN",81,"25-44","M","BLACK","45-64","M","BLACK",40.6771819190001,-73.92476773,"bedford stuyvesant",41921,28.6,77678,82,2019,2
171692499,2017-11-19,14:40:00,"QUEENS",103,"18-24","M","BLACK","45-64","M","BLACK",40.7090430970001,-73.761769397,"hollis",2288,10.8,11685,81,2017,11
227344214,2021-04-24,22:30:00,"MANHATTAN",25,"25-44","M","WHITE HISPANIC","25-44","M","BLACK",40.8040465780001,-73.937667609,"east harlem",35961,30.2,53696,69.2,2021,4
221108947,2020-11-29,19:25:00,"MANHATTAN",25,"25-44","M","BLACK","45-64","M","WHITE HISPANIC",40.795814959,-73.937100162,"east harlem",16639,29,58564,73.1,2020,11
